00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000002998 00000000000000000000000000018e8b 00000000000000000000000000013787 000000000000000000000000000023e5 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 000000000000000000000000000002b2 0000000000000000000000000002c966 00000000000000000000000000039b08 00000000000000000000000000019a9d 00000000000000000000000000005634 0000000000000000000000000000109f 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000030ef3 00000000000000000000000000040b8b 0000000000000000000000000003535b 0000000000000000000000000001d7d5 0000000000000000000000000001c90b 0000000000000000000000000000ce08 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000024f09 00000000000000000000000000040066 0000000000000000000000000003e386 000000000000000000000000000354d5 00000000000000000000000000020f1f 00000000000000000000000000021db5 00000000000000000000000000017b3f 000000000000000000000000000079c2 00000000000000000000000000000142
00000000000000000000000000000000 00000000000000000000000000000000 0000000000000000000000000000eb01 0000000000000000000000000003d9b7 0000000000000000000000000004202f 0000000000000000000000000003c596 000000000000000000000000000217bb 00000000000000000000000000012485 0000000000000000000000000001f043 00000000000000000000000000024226 00000000000000000000000000014382 000000000000000000000000000010bf
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000019d5c 0000000000000000000000000003deb1 0000000000000000000000000003ae21 0000000000000000000000000000c6c4 000000000000000000000000000011e3 0000000000000000000000000000befb 00000000000000000000000000023847 0000000000000000000000000002fa6b 00000000000000000000000000016b58 00000000000000000000000000002ebb
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000020bea 0000000000000000000000000003acf0 00000000000000000000000000015db2 00000000000000000000000000000000 00000000000000000000000000000000 0000000000000000000000000000d505 0000000000000000000000000003ccdb 0000000000000000000000000003ee6e 00000000000000000000000000016a33 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 000000000000000000000000000264dc 00000000000000000000000000034ade 0000000000000000000000000001194e 000000000000000000000000000004a9 0000000000000000000000000000da6a 00000000000000000000000000038dd9 00000000000000000000000000046a34 000000000000000000000000000396f1 000000000000000000000000000035fd 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000004d58 00000000000000000000000000024001 0000000000000000000000000002c947 0000000000000000000000000001a134 0000000000000000000000000002b6c4 00000000000000000000000000040ce6 000000000000000000000000000427c8 000000000000000000000000000433d7 0000000000000000000000000001adeb 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 0000000000000000000000000000843c 0000000000000000000000000001d9cc 0000000000000000000000000001f0d3 00000000000000000000000000033c33 0000000000000000000000000003b70f 0000000000000000000000000004040c 0000000000000000000000000003eb05 00000000000000000000000000025b56 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000003beb 00000000000000000000000000012a80 0000000000000000000000000001e03c 000000000000000000000000000294f2 0000000000000000000000000002f118 0000000000000000000000000002e0be 00000000000000000000000000014ebe 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000004b03 0000000000000000000000000000bc28 0000000000000000000000000001232b 0000000000000000000000000000ec3d 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000
